,NB,DT,SVM,Network,SNB+FULL,SNB+BIC,SVM+Audio,LR_SVM,DT_Audio,LR_DT,Network_Audio,LR_network,NB_Audio,LR_NB,,,,,,,,,,,
95,0.703947368,0.802631579,0.792763158,0.891447368,0.878289474,0.891447368,0.815789474,0.878289474,0.871710526,0.871710526,0.5,0.891447368,0.782894737,0.891447368,,,,,,,,,,,
96,0.766447368,0.759868421,0.805921053,0.871710526,0.848684211,0.868421053,0.746710526,0.868421053,0.805921053,0.805921053,0.667763158,0.878289474,0.713815789,0.845394737,,,,,,,,,,,
97,0.720394737,0.799342105,0.723684211,0.832236842,0.881578947,0.881578947,0.763157895,0.884868421,0.805921053,0.805921053,0.697368421,0.891447368,0.753289474,0.878289474,,,,,,,,,,,
98,0.75,0.782894737,0.776315789,0.674342105,0.858552632,0.871710526,0.796052632,0.898026316,0.802631579,0.802631579,0.710526316,0.865131579,0.773026316,0.851973684,,,,,,,,,,,
99,0.756578947,0.809210526,0.776315789,0.888157895,0.875,0.884868421,0.819078947,0.888157895,0.822368421,0.822368421,0.671052632,0.884868421,0.786184211,0.884868421,,,,,,,,,,,
100,0.776315789,0.819078947,0.786184211,0.878289474,0.858552632,0.855263158,0.773026316,0.851973684,0.825657895,0.825657895,0.736842105,0.861842105,0.717105263,0.845394737,,,,,,,,,,,
101,0.726973684,0.802631579,0.805921053,0.743421053,0.832236842,0.835526316,0.753289474,0.855263158,0.851973684,0.851973684,0.674342105,0.835526316,0.769736842,0.835526316,,,,,,,,,,,
102,0.756578947,0.789473684,0.776315789,0.861842105,0.842105263,0.851973684,0.773026316,0.855263158,0.845394737,0.845394737,0.371710526,0.851973684,0.753289474,0.851973684,,,,,,,,,,,
103,0.720394737,0.782894737,0.779605263,0.917763158,0.891447368,0.898026316,0.796052632,0.914473684,0.822368421,0.822368421,0.700657895,0.894736842,0.796052632,0.901315789,,,,,,,,,,,
104,0.713815789,0.825657895,0.766447368,0.815789474,0.8125,0.815789474,0.799342105,0.828947368,0.848684211,0.848684211,0.661184211,0.8125,0.756578947,0.819078947,,,,,,,,,,,
105,0.743421053,0.786184211,0.786184211,0.825657895,0.865131579,0.875,0.805921053,0.868421053,0.805921053,0.805921053,0.628289474,0.868421053,0.740131579,0.878289474,,,,,,,,,,,
106,0.736842105,0.815789474,0.746710526,0.891447368,0.871710526,0.871710526,0.789473684,0.878289474,0.828947368,0.828947368,0.707236842,0.888157895,0.769736842,0.891447368,,,,,,,,,,,
107,0.769736842,0.799342105,0.776315789,0.845394737,0.871710526,0.875,0.776315789,0.888157895,0.815789474,0.815789474,0.730263158,0.878289474,0.759868421,0.875,,,,,,,,,,,
108,0.786184211,0.786184211,0.766447368,0.904605263,0.865131579,0.868421053,0.75,0.871710526,0.838815789,0.838815789,0.444078947,0.868421053,0.746710526,0.868421053,,,,,,,,,,,
109,0.773026316,0.766447368,0.746710526,0.911184211,0.848684211,0.861842105,0.805921053,0.861842105,0.805921053,0.805921053,0.700657895,0.871710526,0.759868421,0.861842105,,,,,,,,,,,
110,0.75,0.799342105,0.815789474,0.907894737,0.888157895,0.884868421,0.8125,0.891447368,0.796052632,0.796052632,0.694078947,0.891447368,0.730263158,0.884868421,,,,,,,,,,,
111,0.759868421,0.776315789,0.769736842,0.894736842,0.832236842,0.845394737,0.746710526,0.842105263,0.799342105,0.799342105,0.621710526,0.848684211,0.759868421,0.845394737,,,,,,,,,,,
112,0.746710526,0.796052632,0.796052632,0.921052632,0.868421053,0.878289474,0.789473684,0.894736842,0.851973684,0.851973684,0.286184211,0.878289474,0.792763158,0.878289474,,,,,,,,,,,
113,0.746710526,0.776315789,0.786184211,0.809210526,0.894736842,0.904605263,0.743421053,0.888157895,0.838815789,0.838815789,0.371710526,0.904605263,0.723684211,0.904605263,,,,,,,,,,,
114,0.75,0.773026316,0.766447368,0.888157895,0.868421053,0.875,0.759868421,0.875,0.796052632,0.796052632,0.664473684,0.875,0.736842105,0.875,,,,,,,,,,,
115,0.782894737,0.802631579,0.776315789,0.914473684,0.851973684,0.858552632,0.773026316,0.865131579,0.815789474,0.815789474,0.677631579,0.865131579,0.763157895,0.858552632,,,,,,,,,,,
116,0.779605263,0.786184211,0.786184211,0.875,0.858552632,0.858552632,0.822368421,0.875,0.828947368,0.828947368,0.700657895,0.851973684,0.743421053,0.858552632,,,,,,,,,,,
117,0.743421053,0.773026316,0.773026316,0.914473684,0.828947368,0.848684211,0.789473684,0.848684211,0.809210526,0.809210526,0.299342105,0.848684211,0.753289474,0.858552632,,,,,,,,,,,
118,0.703947368,0.819078947,0.809210526,0.720394737,0.851973684,0.861842105,0.796052632,0.865131579,0.851973684,0.851973684,0.697368421,0.855263158,0.736842105,0.861842105,,,,,,,,,,,
119,0.779605263,0.779605263,0.766447368,0.858552632,0.822368421,0.832236842,0.723684211,0.825657895,0.845394737,0.845394737,0.6875,0.842105263,0.759868421,0.838815789,,,,,,,,,,,
120,0.786184211,0.773026316,0.822368421,0.855263158,0.858552632,0.871710526,0.796052632,0.888157895,0.819078947,0.819078947,0.700657895,0.875,0.776315789,0.878289474,,,,,,,,,,,
